point_id,traj,lon,lat,year,ndvi_median,n_images_that_year
c3_065,3,-89.972379,21.162086486816406,1998.0,0.7174685597419739,53
c3_054,3,-90.029237,21.101455,1998.0,0.581520676612854,53
c3_056,3,-90.008758,21.114120483398438,1998.0,0.6468477249145508,53
c4_051,4,-89.958906,21.191997,1998.0,0.1422148495912552,53
c4_052,4,-89.957828,21.178254,1998.0,0.12687720358371735,53
c4_053,4,-89.994476,21.172864,1998.0,0.12366317212581635,53
c4_054,4,-89.994745,21.168822,1998.0,0.08417467772960663,53
c4_055,4,-90.0025634765625,21.169631,1998.0,0.08808870613574982,53
c1_001,1,-90.056184,21.12301254272461,1999.0,0.6321937441825867,62
c1_002,1,-89.984506,21.126246,1999.0,0.7282376289367676,62
c1_003,1,-90.070197,21.140798,1999.0,0.6590972542762756,62
c1_004,1,-90.057801,21.145648,1999.0,0.7008315324783325,62
c1_005,1,-90.024926,21.145379,1999.0,0.5163421034812927,62
c1_006,1,-89.979386,21.130288,1999.0,0.7150518894195557,62
c1_007,1,-90.08636474609375,21.137025,1999.0,0.6558860540390015,62
c1_008,1,-89.952169,21.14322280883789,1999.0,0.7684630751609802,62
c1_009,1,-90.055106,21.138911,1999.0,0.5218254923820496,62
c1_010,1,-89.945702,21.14322280883789,1999.0,0.7192542552947998,62
c1_011,1,-89.958098,21.149151,1999.0,0.7079596519470215,62
c1_012,1,-90.036783,21.117354,1999.0,0.7620633840560913,62
c1_013,1,-90.113042,21.085018157958984,1999.0,0.7748163938522339,62
c1_014,1,-89.944085,21.154002,1999.0,0.7589040994644165,62
c1_015,1,-90.065885,21.113581,1999.0,0.5578123927116394,62
c1_016,1,-90.064538,21.121126174926758,1999.0,0.5801270008087158,62
c1_017,1,-90.01280212402344,21.122474,1999.0,0.7171676754951477,62
c1_018,1,-90.013608,21.150499,1999.0,0.7312890887260437,62
c1_019,1,-90.075856,21.141876220703125,1999.0,0.746733546257019,62
c1_020,1,-90.063729,21.119510650634766,1999.0,0.512524425983429,62
c1_021,1,-90.112234,21.128671646118164,1999.0,0.397475928068161,62
c1_022,1,-89.970224,21.131635665893555,1999.0,0.6527667045593262,62
c1_023,1,-90.049448,21.111425399780273,1999.0,0.6774388551712036,62
c1_024,1,-90.076933,21.135408401489258,1999.0,0.6740560531616211,62
c1_025,1,-90.09391021728516,21.143762,1999.0,0.7295010685920715,62
c1_026,1,-89.940852,21.145917892456055,1999.0,0.7567318081855774,62
c1_027,1,-89.945163,21.154002,1999.0,0.7255942821502686,62
c1_028,1,-90.098491,21.127324,1999.0,0.6846823692321777,62
c1_029,1,-90.003368,21.149421,1999.0,0.5847161412239075,62
c1_030,1,-89.972918,21.124629,1999.0,0.764868974685669,62
c1_031,1,-90.003907,21.124359130859375,1999.0,0.6960189938545227,62
c1_032,1,-90.066694,21.0987606048584,1999.0,0.730679452419281,62
c1_033,1,-89.994745,21.123552322387695,1999.0,0.6580674648284912,62
c1_034,1,-90.08879089355469,21.142953,1999.0,0.6019431352615356,62
c1_035,1,-90.063191,21.110887,1999.0,0.5700029730796814,62
c1_036,1,-89.960523,21.137563705444336,1999.0,0.756360650062561,62
c1_037,1,-90.094179,21.093371,1999.0,0.6994625329971313,62
c1_038,1,-90.0025634765625,21.122743,1999.0,0.6564596891403198,62
c1_039,1,-90.051334,21.132714,1999.0,0.5857824087142944,62
c1_040,1,-90.066694,21.13837242126465,1999.0,0.6116724610328674,62
c1_041,1,-90.116815,21.0882511138916,1999.0,0.7146498560905457,62
c1_042,1,-90.057801,21.148612,1999.0,0.6812887787818909,62
c1_043,1,-90.080706,21.141876220703125,1999.0,0.6054006814956665,62
c1_044,1,-89.947319,21.188493728637695,1999.0,0.6417427062988281,62
c1_045,1,-89.981811,21.124091,1999.0,0.7533006072044373,62
c1_046,1,-90.058879,21.128671646118164,1999.0,0.5104493498802185,62
c1_047,1,-90.075317,21.10361099243164,1999.0,0.7248961925506592,62
c1_048,1,-90.003638,21.150768280029297,1999.0,0.6590248346328735,62
c1_049,1,-90.026543,21.122743,1999.0,0.7434464693069458,62
c1_050,1,-90.108731,21.117623,1999.0,0.6938096284866333,62
c2_001,2,-89.960253,21.154002,1999.0,0.6909385323524475,62
c2_002,2,-90.117623,21.133522033691406,1999.0,0.3789437711238861,62
c2_003,2,-90.07881927490234,21.09229278564453,1999.0,0.7330201864242554,62
