system:index,date,mean
1_1_LT05_020045_19850206_111,1985-02-06,0.7352131371546213
1_1_LT05_020045_19850206_112,1985-02-06,0.8020415913680051
1_1_LT05_020045_19850206_113,1985-02-06,0.7183487591251709
1_1_LT05_020045_19850206_114,1985-02-06,0.7331894126394626
1_1_LT05_020045_19850206_115,1985-02-06,
1_1_LT05_020045_19850206_116,1985-02-06,0.7379500720416549
1_1_LT05_020045_19850206_117,1985-02-06,0.6869894481213938
1_1_LT05_020045_19850206_118,1985-02-06,
1_1_LT05_020045_19850206_119,1985-02-06,0.7159103232828519
1_1_LT05_020045_19850206_120,1985-02-06,0.7854676507345426
1_1_LT05_020045_19850206_121,1985-02-06,0.5420968351804443
1_1_LT05_020045_19850206_122,1985-02-06,0.6328130991584047
1_1_LT05_020045_19850206_123,1985-02-06,
1_1_LT05_020045_19850206_124,1985-02-06,0.582643379821111
1_1_LT05_020045_19850206_125,1985-02-06,0.7078856661601638
1_1_LT05_020045_19850206_126,1985-02-06,0.7139040975648631
1_1_LT05_020045_19850206_127,1985-02-06,0.7528938633286233
1_1_LT05_020045_19850206_128,1985-02-06,0.7188341746299417
1_1_LT05_020045_19850206_129,1985-02-06,0.808363556931702
1_1_LT05_020045_19850206_130,1985-02-06,0.776305345624697
1_1_LT05_020045_19850206_131,1985-02-06,0.7333321778318184
1_1_LT05_020045_19850206_132,1985-02-06,0.8133790587145878
1_1_LT05_020045_19850206_133,1985-02-06,0.67351597313391
1_1_LT05_020045_19850206_134,1985-02-06,0.7858643433239386
1_1_LT05_020045_19850206_135,1985-02-06,0.7313519371177578
1_1_LT05_020045_19850206_136,1985-02-06,0.693779885124428
1_1_LT05_020045_19850206_137,1985-02-06,0.7682075484989697
1_1_LT05_020045_19850206_138,1985-02-06,0.718717402594824
1_1_LT05_020045_19850206_139,1985-02-06,0.8090041060607853
1_1_LT05_020045_19850206_140,1985-02-06,0.6558581008045867
1_1_LT05_020045_19850206_141,1985-02-06,
1_1_LT05_020045_19850206_142,1985-02-06,0.8159982788265301
1_1_LT05_020045_19850206_143,1985-02-06,0.6590571480534168
1_1_LT05_020045_19850206_144,1985-02-06,0.667951015043287
1_1_LT05_020045_19850206_145,1985-02-06,0.715297575455233
1_1_LT05_020045_19850206_146,1985-02-06,0.6404940250958544
1_1_LT05_020045_19850206_147,1985-02-06,0.6884411654391466
1_1_LT05_020045_19850206_148,1985-02-06,0.7550179259293979
1_1_LT05_020045_19850206_149,1985-02-06,
1_1_LT05_020045_19850206_150,1985-02-06,
1_1_LT05_020045_19850206_151,1985-02-06,0.7606299058232014
1_1_LT05_020045_19850206_152,1985-02-06,0.6350501645234462
1_1_LT05_020045_19850206_153,1985-02-06,
1_1_LT05_020045_19850206_154,1985-02-06,
1_1_LT05_020045_19850206_155,1985-02-06,0.7392850891368677
1_1_LT05_020045_19850206_156,1985-02-06,
1_1_LT05_020045_19850206_157,1985-02-06,0.723308595476854
1_1_LT05_020045_19850206_158,1985-02-06,0.7316630055574104
1_1_LT05_020045_19850206_159,1985-02-06,0.7464380000041229
1_1_LT05_020045_19850206_160,1985-02-06,0.6775651615527992
1_1_LT05_020045_19850206_161,1985-02-06,0.7484123121943889
1_1_LT05_020045_19850206_162,1985-02-06,0.6604627568773443
1_1_LT05_020045_19850206_163,1985-02-06,0.7440772852901205
1_1_LT05_020045_19850206_164,1985-02-06,0.7928081335350764
1_1_LT05_020045_19850206_165,1985-02-06,
1_1_LT05_020045_19850206_166,1985-02-06,0.5836390287022304
1_1_LT05_020045_19850206_167,1985-02-06,0.7825100510598637
1_1_LT05_020045_19850206_168,1985-02-06,0.7976880320648955
1_1_LT05_020045_19850206_169,1985-02-06,0.6597669757546221
1_1_LT05_020045_19850206_170,1985-02-06,0.6907970047703708
1_1_LT05_020045_19850206_171,1985-02-06,0.7492806001787473
1_1_LT05_020045_19850206_172,1985-02-06,0.6158828585828057
1_1_LT05_020045_19850206_173,1985-02-06,0.703179741598664
1_1_LT05_020045_19850206_174,1985-02-06,
1_1_LT05_020045_19850206_175,1985-02-06,0.7769452702585414
1_1_LT05_020045_19850206_176,1985-02-06,0.6919510370858155
1_1_LT05_020045_19850206_177,1985-02-06,0.7381725383679999
1_1_LT05_020045_19850206_178,1985-02-06,
1_1_LT05_020045_19850206_179,1985-02-06,0.49413201954658326
1_1_LT05_020045_19850206_180,1985-02-06,0.7054587132422122
1_1_LT05_020045_19850206_181,1985-02-06,
1_1_LT05_020045_19850206_182,1985-02-06,
1_1_LT05_020045_19850206_183,1985-02-06,0.6916722678246934
1_1_LT05_020045_19850206_184,1985-02-06,0.6664447018972678
1_1_LT05_020045_19850206_185,1985-02-06,0.6991967158404451
1_1_LT05_020045_19850206_186,1985-02-06,0.6681567285690154
1_1_LT05_020045_19850206_187,1985-02-06,0.6534768892272027
1_1_LT05_020045_19850206_188,1985-02-06,0.7981107316185032
1_1_LT05_020045_19850206_189,1985-02-06,
1_1_LT05_020045_19850206_190,1985-02-06,0.6376631669619663
1_1_LT05_020045_19850206_191,1985-02-06,0.776656185732541
1_1_LT05_020045_19850206_192,1985-02-06,
1_1_LT05_020045_19850206_193,1985-02-06,0.5754838296500212
1_1_LT05_020045_19850206_194,1985-02-06,0.8120265254612115
1_1_LT05_020045_19850206_195,1985-02-06,0.7444410617258899
1_1_LT05_020045_19850206_196,1985-02-06,0.6901468405532379
1_1_LT05_020045_19850206_197,1985-02-06,0.7258161364743081
1_1_LT05_020045_19850206_198,1985-02-06,0.6221592824040225
1_1_LT05_020045_19850206_199,1985-02-06,0.7636228792760819
1_1_LT05_020046_19850206_0,1985-02-06,
1_1_LT05_020046_19850206_1,1985-02-06,
1_1_LT05_020046_19850206_2,1985-02-06,
1_1_LT05_020046_19850206_3,1985-02-06,
1_1_LT05_020046_19850206_4,1985-02-06,
1_1_LT05_020046_19850206_5,1985-02-06,
1_1_LT05_020046_19850206_6,1985-02-06,
1_1_LT05_020046_19850206_7,1985-02-06,
1_1_LT05_020046_19850206_8,1985-02-06,
1_1_LT05_020046_19850206_9,1985-02-06,
1_1_LT05_020046_19850206_10,1985-02-06,
1_1_LT05_020046_19850206_11,1985-02-06,
1_1_LT05_020046_19850206_12,1985-02-06,
1_1_LT05_020046_19850206_13,1985-02-06,
1_1_LT05_020046_19850206_14,1985-02-06,
1_1_LT05_020046_19850206_15,1985-02-06,
1_1_LT05_020046_19850206_16,1985-02-06,
1_1_LT05_020046_19850206_17,1985-02-06,
1_1_LT05_020046_19850206_18,1985-02-06,
1_1_LT05_020046_19850206_19,1985-02-06,
1_1_LT05_020046_19850206_20,1985-02-06,
1_1_LT05_020046_19850206_21,1985-02-06,
1_1_LT05_020046_19850206_22,1985-02-06,
1_1_LT05_020046_19850206_23,1985-02-06,
1_1_LT05_020046_19850206_24,1985-02-06,
1_1_LT05_020046_19850206_25,1985-02-06,
1_1_LT05_020046_19850206_26,1985-02-06,
1_1_LT05_020046_19850206_27,1985-02-06,
1_1_LT05_020046_19850206_28,1985-02-06,
1_1_LT05_020046_19850206_29,1985-02-06,
1_1_LT05_020046_19850206_30,1985-02-06,
1_1_LT05_020046_19850206_31,1985-02-06,0.4509955302722471
1_1_LT05_020046_19850206_32,1985-02-06,
1_1_LT05_020046_19850206_33,1985-02-06,
1_1_LT05_020046_19850206_34,1985-02-06,
1_1_LT05_020046_19850206_35,1985-02-06,
1_1_LT05_020046_19850206_36,1985-02-06,0.5793482004006245
1_1_LT05_020046_19850206_37,1985-02-06,
1_1_LT05_020046_19850206_38,1985-02-06,
1_1_LT05_020046_19850206_39,1985-02-06,
1_1_LT05_020046_19850206_40,1985-02-06,
1_1_LT05_020046_19850206_41,1985-02-06,
1_1_LT05_020046_19850206_42,1985-02-06,
1_1_LT05_020046_19850206_43,1985-02-06,
1_1_LT05_020046_19850206_44,1985-02-06,
1_1_LT05_020046_19850206_45,1985-02-06,
1_1_LT05_020046_19850206_46,1985-02-06,
1_1_LT05_020046_19850206_47,1985-02-06,
1_1_LT05_020046_19850206_48,1985-02-06,
1_1_LT05_020046_19850206_49,1985-02-06,
1_1_LT05_020046_19850206_50,1985-02-06,
1_1_LT05_020046_19850206_51,1985-02-06,
1_1_LT05_020046_19850206_52,1985-02-06,
1_1_LT05_020046_19850206_53,1985-02-06,
1_1_LT05_020046_19850206_54,1985-02-06,
1_1_LT05_020046_19850206_55,1985-02-06,
1_1_LT05_020046_19850206_56,1985-02-06,
1_1_LT05_020046_19850206_57,1985-02-06,
1_1_LT05_020046_19850206_58,1985-02-06,
1_1_LT05_020046_19850206_59,1985-02-06,
1_1_LT05_020046_19850206_60,1985-02-06,
1_1_LT05_020046_19850206_61,1985-02-06,
1_1_LT05_020046_19850206_62,1985-02-06,
1_1_LT05_020046_19850206_63,1985-02-06,
1_1_LT05_020046_19850206_64,1985-02-06,
1_1_LT05_020046_19850206_65,1985-02-06,
